"_SITE_TITLE";"Social Network"
"view all event suggestions";"view all event suggestions"
"You have";"You have"
"Find your Friends";"Find your Friends"
"You can use any of the tools on this page to find and connect with more friends.";"You can use any of the tools on this page to find and connect with more friends."
"Upload Contact File";"Upload Contact File"
"Find People You Email";"Find People You Email"
"Search your Webmail account.";"Search your Webmail account."
"Click on one of the above services to search your email account.";"Click on one of the above services to search your email account."
"My Community will not store your account information.";"My Community will not store your account information."
"People You May Know";"People You May Know"
"Search for People";"Search for People"
"has sent you an album suggestion:";"has sent you an album suggestion:"
"View this Album";"View this Album"
"has sent you an blog suggestion:";"has sent you an blog suggestion:"
"View Blog";"View Blog"
"has sent you an classified suggestion:";"has sent you an classified suggestion:"
"has sent you an event suggestion:";"has sent you an event suggestion:"
"has sent you an friend suggestion:";"has sent you an friend suggestion:"
"has sent you an group suggestion:";"has sent you an group suggestion:"
"has sent you an music suggestion:";"has sent you an music suggestion:"
"Listen to this Music";"Listen to this Music"
"has sent you an video suggestion:";"has sent you an video suggestion:"
"View this Video";"View this Video"
"has sent you an poll suggestion:";"has sent you an poll suggestion:"
"Vote on this Poll";"Vote on this Poll"
"has sent you an forum suggestion:";"has sent you an forum suggestion:"
"View this Forum";"View this Forum"
" suggestion has been deleted.";" suggestion has been deleted."
"Suggest profile picture for ";"Suggest profile picture for "
"Suggest Photo";"Suggest Photo"
"Choose File";"Choose File"
"picture suggestion";"picture suggestion"
"picture suggestions";"picture suggestions"
"has sent you a profile photo suggestion.";"has sent you a profile photo suggestion."
"View Photo Suggestion";"View Photo Suggestion"
"Selected";"Selected"
"Send Suggestions";"Send Suggestions"
"Select friends of yours who might be interested in";"Select friends of yours who might be interested in"
"Selected friends will get a suggestion from you to view this classified.";"Selected friends will get a suggestion from you to view this classified."
"Select friends of yours who might be interested in joining";"Select friends of yours who might be interested in joining"
"Selected friends will get a suggestion from you to join this event.";"Selected friends will get a suggestion from you to join this event."
"Selected friends will get a suggestion from you to discuss on this forum topic.";"Selected friends will get a suggestion from you to discuss on this forum topic."
"Selected friends will get a suggestion from you to join this group.";"Selected friends will get a suggestion from you to join this group."
"Selected friends will get a suggestion from you to listen to this music.";"Selected friends will get a suggestion from you to listen to this music."
"You are now friends with ";"You are now friends with "
"You may also know some of ";"You may also know some of "
"s friends";"s friends"
"Selected friends will get a suggestion from you to vote on this poll.";"Selected friends will get a suggestion from you to vote on this poll."
"find more friends on";"find more friends on"
"will get suggestions from you to add your selected friends as friends.";"will get suggestions from you to add your selected friends as friends."
"Select friends of yours who know";"Select friends of yours who know"
"Selected friends will get a suggestion from you to add";"Selected friends will get a suggestion from you to add"
" as a friend";" as a friend"
"Selected friends will get a suggestion from you to view this album.";"Selected friends will get a suggestion from you to view this album."
"Selected friends will get a suggestion from you to view this video.";"Selected friends will get a suggestion from you to view this video."
"Selected friends will get a suggestion from you to join this blog.";"Selected friends will get a suggestion from you to join this blog."
"Do not show this suggestion";"Do not show this suggestion"
"You haven't talked on";"You haven't talked on"
"lately.";"lately."
"You do not have any more friend suggestions.";"You do not have any more friend suggestions."
"You do not have any suggestions currently.";"You do not have any suggestions currently."
"Many email services, email applications, address book management applications allow contacts to be imported to a file. We support .CSV and .TXT types of contact files";"Many email services, email applications, address book management applications allow contacts to be imported to a file. We support .CSV and .TXT types of contact files"
"For Other";"For Other"
"9. Click OK"" then click ""Close""""";"9. Click OK"" then click ""Close"""""
"8. Click Finish""""";"8. Click Finish"""""
"7. Make sure all address book fields you want included are checked";"7. Make sure all address book fields you want included are checked"
"6. Click Save"" then click ""Next""""";"6. Click Save"" then click ""Next"""""
"5. Select where you want to save the exported CSV file, choose a name for your file (example : mycontacts.csv) and click Next""""";"5. Select where you want to save the exported CSV file, choose a name for your file (example : mycontacts.csv) and click Next"""""
"4. Make sure CSV (Comma Separated Values) is highlighted, then click Export""""";"4. Make sure CSV (Comma Separated Values) is highlighted, then click Export"""""
"3. Click Export"" in the toolbar""";"3. Click Export"" in the toolbar"""
"2. Select: Tools | Windows Contacts... from the menu in Windows Mail";"2. Select: Tools | Windows Contacts... from the menu in Windows Mail"
"1. Open Windows Mail";"1. Open Windows Mail"
"To export a CSV file from Windows Mail:";"To export a CSV file from Windows Mail:"
"For Windows Mail:";"For Windows Mail:"
"Windows Mail";"Windows Mail"
"8. In the second dialog box: Specify Export Fields"" that opens, leave all of the checkboxes checked, and click ""OK"".""";"8. In the second dialog box: Specify Export Fields"" that opens, leave all of the checkboxes checked, and click ""OK""."""
"7. Be sure to select the All"" radio button from the two ""Range:"" radio buttons""";"7. Be sure to select the All"" radio button from the two ""Range:"" radio buttons"""
"6. Select Comma Separated"" in the ""Export Type"" pulldown menu""";"6. Select Comma Separated"" in the ""Export Type"" pulldown menu"""
"5. Enter a name for the file you are creating in the File name:"" field""";"5. Enter a name for the file you are creating in the File name:"" field"""
"4. In the dialog box that opens, do the following:";"4. In the dialog box that opens, do the following:"
"3. Go to the File menu, select Export""""";"3. Go to the File menu, select Export"""""
"2. Click on the Addresses"" icon on the lefthand side of the screen to display your contact list""";"2. Click on the Addresses"" icon on the lefthand side of the screen to display your contact list"""
"1. Open Palm Desktop";"1. Open Palm Desktop"
"To export a CSV file from Palm Desktop:";"To export a CSV file from Palm Desktop:"
"For Palm Desktop:";"For Palm Desktop:"
"Palm Desktop";"Palm Desktop"
"3. Save your exported address book in CSV format.";"3. Save your exported address book in CSV format."
"2. Choose to export your Address Book in CSV format.";"2. Choose to export your Address Book in CSV format."
"1. Download the free Mac Address Book exporter from";"1. Download the free Mac Address Book exporter from"
"To export a CSV file from Mac OS X Address Book:";"To export a CSV file from Mac OS X Address Book:"
"For Mac OS X Address Book:";"For Mac OS X Address Book:"
"Mac OS X Address Book";"Mac OS X Address Book"
"6. Click OK"" and then click ""Close""""";"6. Click OK"" and then click ""Close"""""
"5. Select the check boxes for the fields that you want to export (be sure to select the email address field), and then click Finish"".""";"5. Select the check boxes for the fields that you want to export (be sure to select the email address field), and then click Finish""."""
